State,Description,Plate Image,Source
CA,California - Remanufacturers - Script,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/RmfScript.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Remanufacturers - Sun,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/RmfSun.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - California Museums (Snoopy),![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/snoopy.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - California Museums (Snoopy) - Motorcycle,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/snoopymotorcycleplate1.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - Special Equipment,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/specequip.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Special Equipment Dealers and Manufacturers,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/specequipdlfmfr.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - California State Assembly - Block,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/stassemblyblok.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - California State Assembly - Script,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/stassemblyscript.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - California State Assembly - Sun,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/stassemblysun.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - California State Assembly - Blue + Gold,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/stassmblyblugld.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - California State Senate - Block,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/stsenateblok.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - California State Senate - Blue + Gold,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/stsenateblugld.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
